Country,Happiness Score,GDP per Capita,Family,Healthy Life Expectancy,Freedom,Perception of Government Corruption,Generosity
Uganda,4.189,0.332,1.069,0.443,0.35600000000000004,0.06,0.252
Egypt,4.166,0.913,1.039,0.644,0.241,0.067,0.076
Zambia,4.107,0.578,1.058,0.426,0.431,0.087,0.247
Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.085,0.177
India,4.015,0.755,0.765,0.588,0.498,0.085,0.2
Liberia,3.975,0.073,0.922,0.443,0.37,0.033,0.233
Comoros,3.973,0.274,0.757,0.505,0.142,0.078,0.275
Madagascar,3.933,0.274,0.916,0.555,0.14800000000000002,0.041,0.16899999999999998
Lesotho,3.802,0.489,1.169,0.168,0.359,0.093,0.107
Burundi,3.775,0.046,0.447,0.38,0.22,0.18,0.17600000000000002
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.08900000000000001,0.151
Haiti,3.597,0.32299999999999995,0.688,0.449,0.026,0.11,0.419
Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.1,0.025
Syria,3.462,0.619,0.378,0.44,0.013,0.141,0.331
Malawi,3.41,0.191,0.56,0.495,0.443,0.08900000000000001,0.218
Yemen,3.38,0.287,1.163,0.463,0.14300000000000002,0.077,0.108
Rwanda,3.334,0.359,0.711,0.614,0.555,0.411,0.217
Tanzania,3.2310000000000003,0.476,0.885,0.499,0.417,0.147,0.276
Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.025,0.158
Central African Republic,3.083,0.026,0.0,0.105,0.225,0.035,0.235
South Sudan,2.853,0.306,0.575,0.295,0.01,0.091,0.202
