Country,Happiness Score_2015,GDP per Capita_2015,Family_2015,Healthy Life Expectancy_2015,Freedom_2015,Perception of Government Corruption_2015,Generosity_2015,Happiness Score_2016,GDP per Capita_2016,Family_2016,Healthy Life Expectancy_2016,Freedom_2016,Perception of Government Corruption_2016,Generosity_2016,Happiness Score_2017,GDP per Capita_2017,Family_2017,Healthy Life Expectancy_2017,Freedom_2017,Perception of Government Corruption_2017,Generosity_2017,Happiness Score_2018,GDP per Capita_2018,Family_2018,Healthy Life Expectancy_2018,Freedom_2018,Perception of Government Corruption_2018,Generosity_2018,Happiness Score_2019,GDP per Capita_2019,Family_2019,Healthy Life Expectancy_2019,Freedom_2019,Perception of Government Corruption_2019,Generosity_2019,Happiness Score_2020,GDP per Capita_2020,Family_2020,Healthy Life Expectancy_2020,Freedom_2020,Perception of Government Corruption_2020,Generosity_2020,6 Year Average
Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.0822879821062088,0.3266624212265011,6.476,1.131,1.331,0.8079999999999999,0.431,0.061,0.19699999999999998,6.444,1.159,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187,6.228499889,1.096992493,1.323286891,0.889260828,0.41748222700000004,0.06284935,0.155579001,6.529249973234823
France,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,6.44199991226196,1.43092346191406,1.38777685165405,0.8444658517837521,0.470222115516663,0.172502428293228,0.129762306809425,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.17600000000000002,0.098,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111,6.663799762999999,1.268129349,1.458839178,1.029714227,0.5140509010000001,0.227303237,0.112607703,6.539966612543661
Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000004,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.4945192039012911,0.059739887714385986,0.109457060694695,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.054000000000000006,0.062,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066,5.974699974,1.028465629,1.3725436930000001,0.849773705,0.520840347,0.060415059000000014,0.070100471,6.378616658518635
Czech Republic,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,6.60900020599365,1.35268235206604,1.4338852167129499,0.754444003105164,0.49094617366790794,0.0368729270994663,0.0881067588925362,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.034,0.064,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.036000000000000004,0.046,6.9109001160000005,1.212322354,1.40528667,0.89456445,0.505744576,0.049803223,0.046325929,6.697316720332275
Uruguay,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,6.4539999961853,1.2175596952438401,1.4122278690338101,0.719216823577881,0.5793922543525699,0.17806187272071802,0.175096929073334,6.379,1.093,1.459,0.7709999999999999,0.625,0.155,0.13,6.2929999999999975,1.124,1.465,0.8909999999999999,0.523,0.15,0.127,6.440100192999999,1.071000457,1.425081134,0.856928885,0.59426707,0.19342507399999997,0.132143691,6.432683364864217
Colombia,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,6.35699987411499,1.07062232494354,1.4021829366683998,0.595027923583984,0.47748741507530196,0.0466687418520451,0.14901447296142598,6.26,0.96,1.439,0.635,0.531,0.039,0.099,6.125,0.985,1.41,0.841,0.47,0.034,0.099,6.163400172999999,0.93220371,1.33445096,0.8100201490000001,0.526890039,0.04584837,0.092374094,6.310566674519165
Thailand,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,6.4239997863769505,1.12786877155304,1.4257924556732198,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.028999999999999998,0.364,6.007999999999999,1.05,1.409,0.828,0.557,0.027999999999999997,0.359,5.9987998010000005,1.007029295,1.3475195169999998,0.7938558459999999,0.609449804,0.031837862,0.376709014,6.238633264562825
Saudi Arabia,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,6.343999862670901,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126004,0.147616013884544,6.371,1.379,1.331,0.633,0.509,0.127,0.098,6.375,1.403,1.357,0.795,0.439,0.132,0.08,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.163322315,0.087440684,6.381083287611816
Spain,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.061370000000000015,0.17665,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,6.31,1.251,1.538,0.965,0.449,0.07400000000000001,0.142,6.354,1.286,1.484,1.062,0.36200000000000004,0.079,0.153,6.4008998870000005,1.230535269,1.421099186,1.051343083,0.425983816,0.109579779,0.16530548,6.359649960821614
Malta,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,6.4879999999999995,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.153066068887711,0.5747305750846861,6.6270000000000024,1.27,1.525,0.884,0.645,0.142,0.376,6.726,1.3,1.52,0.9990000000000001,0.564,0.151,0.375,6.772799968999999,1.2525132890000001,1.442956924,0.9720420240000001,0.633239031,0.17886407699999998,0.341180831,6.573799986568157
